threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.3,8,1.5697,23.875,898.434,120
0.01,0.3,9,1.62424,1.39836,870.054,120
0.01,0.3,10,1.45152,1.983,1296.8,120
0.01,0.3,11,1.5,1.29582,868.728,120
0.01,0.3,12,1.53939,1.62096,1089.26,120
0.01,0.3,13,1.23636,1.62767,1029.76,120
0.01,0.3,14,2.0,1.45102,1017.14,120
0.01,0.3,15,1.87273,1.59388,1004.47,120
0.01,0.3,16,1.61515,1.68346,1030.76,120
0.01,0.3,17,1.72727,1.66301,1047.95,120
0.01,0.3,18,1.65758,1.69504,1006.38,120
0.01,0.3,19,1.9303,1.81742,1096.54,120
0.01,0.3,20,1.46364,1.4931,1104.38,120
0.01,0.3,21,1.77879,2.21519,1109.28,120
0.01,0.3,22,2.00606,1.85999,1017.72,120
0.01,0.3,23,1.8697,1.67155,1105.94,120
0.01,0.3,24,1.49394,1.57258,1113.57,120
0.01,0.3,25,1.50606,1.53788,1013.88,120
0.01,0.3,26,1.85455,1.6725,1041.22,120
0.01,0.3,27,1.69091,1.48782,804.015,120
0.01,0.3,28,1.65455,1.27001,1166.04,120
0.01,0.3,29,1.49091,1.85869,1049.61,120
0.01,0.3,30,1.84848,1.4785,946.348,120
0.01,0.3,31,1.69394,1.49107,903.815,120
0.01,0.3,32,1.72727,1.23156,991.554,120
0.01,0.3,33,1.45455,1.74849,815.282,120
0.01,0.3,34,1.95455,1.46407,1067.19,120
0.01,0.3,35,1.50606,1.62001,870.234,120
0.01,0.3,36,1.51515,1.25496,1001.45,120
0.01,0.3,37,1.49091,1.30735,1100.1,120
0.01,0.3,38,1.60909,1.52544,991.476,120
0.01,0.3,39,1.27273,1.27483,990.988,120
0.01,0.3,40,2.02424,1.54082,960.96,120
0.01,0.3,41,1.54848,1.29702,866.482,120
0.01,0.3,42,1.58485,1.70006,1263.12,120
0.01,0.3,43,1.20606,1.89766,874.177,120
0.01,0.3,44,1.44242,1.44842,997.157,120
0.01,0.3,45,2.04545,1.6792,920.486,120
0.01,0.3,46,1.21212,1.61648,934.979,120
0.01,0.3,47,1.89091,1.43193,1263.25,120
0.01,0.3,48,1.52424,1.44014,1033.16,120
0.01,0.3,49,1.67273,1.19979,896.591,120
0.01,0.3,50,1.68788,30.6178,801.225,120
0.01,0.3,51,1.63636,1.38828,1107.84,120
0.01,0.3,52,1.62727,1.82276,877.978,120
0.01,0.3,53,1.49697,1.91904,831.764,120
0.01,0.3,54,1.49697,1.47859,1130.44,120
0.01,0.3,55,1.54242,1.89835,808.047,120
0.01,0.3,56,1.87273,1.41738,816.078,120
0.01,0.3,57,1.33333,1.63981,797.806,120
0.01,0.3,58,1.69091,1.74665,1169.74,120
0.01,0.3,59,1.30909,1.30082,815.37,120
0.01,0.3,60,1.74545,1.45316,1177.45,120
0.01,0.3,61,1.26667,1.41853,1213.89,120
0.01,0.3,62,1.18485,1.45038,1209.38,120
0.01,0.3,63,2.08485,1.59273,1120.67,120
0.01,0.3,64,1.62424,1.51818,1110.3,120
0.01,0.3,65,1.6303,1.5821,966.69,120
0.01,0.3,66,1.75152,1.62654,1385.26,120
0.01,0.3,67,1.62121,1.39771,1069.69,120
0.01,0.3,68,1.91212,1.39789,1281.6,120
0.01,0.3,69,1.33333,1.29086,1319.05,120
0.01,0.3,70,1.63636,1.59377,948.259,120
0.01,0.3,71,1.78182,1.66705,1099.74,120
0.01,0.3,72,1.89394,1.90574,890.614,120
0.01,0.3,73,1.59697,1.52019,975.67,120
0.01,0.3,74,1.71212,1.29099,1068.91,120
0.01,0.3,75,2.36364,1.36028,969.9,120
0.01,0.3,76,1.97576,2.03955,1048.88,120
0.01,0.3,77,2.04545,1.26231,940.076,120
0.01,0.3,78,1.79697,1.43534,942.668,120
0.01,0.3,79,1.62727,1.50886,927.217,120
0.01,0.3,80,0.872727,1.4593,1169.89,120
0.01,0.3,81,1.26667,2.19268,1037.32,120
0.01,0.3,82,1.45455,1.22636,1316.65,120
0.01,0.3,83,1.64848,1.25545,1151.28,120
0.01,0.3,84,1.67273,1.65485,853.951,120
0.01,0.3,85,1.3303,1.68437,1042.55,120
0.01,0.3,86,1.37273,1.54871,867.169,120
0.01,0.3,87,1.66364,1.57165,1061.89,120
0.01,0.3,88,1.91212,1.26235,985.099,120
0.01,0.3,89,1.72424,1.46424,885.195,120
0.01,0.3,90,1.68182,1.45067,1040.75,120
0.01,0.3,91,1.59091,1.75923,876.759,120
0.01,0.3,92,1.97576,2.10173,1022.26,120
0.01,0.3,93,1.32424,1.74788,1051.38,120
0.01,0.3,94,1.71515,1.35072,831.193,120
0.01,0.3,95,0.948485,1.54875,872.917,120
0.01,0.3,96,1.46364,30.2466,1105.16,120
0.01,0.3,97,1.36061,1.46278,927.04,120
0.01,0.3,98,2.09697,1.70682,1144.15,120
0.01,0.3,99,1.57576,1.58619,818.915,120
0.01,0.5,0,0.621212,1.70599,1074.52,120
0.01,0.5,1,0.381818,2.03232,1032.48,120
0.01,0.5,2,0.372727,1.37635,967.212,120
0.01,0.5,3,0.869697,2.35829,875.877,120
0.01,0.5,4,-0.306061,1.98707,1107.18,120
0.01,0.5,5,1.16667,2.04155,922.725,120
0.01,0.5,6,0.860606,1.89786,1089.74,120
0.01,0.5,7,-0.0212121,1.80867,1080.96,120
0.01,0.5,8,0.287879,22.9973,943.768,120
